# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.185230e+00,-3.120529e+02,-9.522082e+01,3.670759e-01
2.616667e-03,6.184869e+00,-3.120188e+02,-9.531771e+01,3.670665e-01
3.925000e-03,6.184214e+00,-3.119635e+02,-9.551477e+01,3.670416e-01
5.233333e-03,6.183382e+00,-3.118716e+02,-9.591287e+01,3.669812e-01
6.541667e-03,6.182410e+00,-3.117101e+02,-9.653523e+01,3.668686e-01
7.850000e-03,6.181268e+00,-3.115000e+02,-9.724228e+01,3.666985e-01
9.158333e-03,6.179929e+00,-3.112880e+02,-9.776661e+01,3.664829e-01
1.046667e-02,6.178386e+00,-3.110858e+02,-9.781782e+01,3.662549e-01
1.177500e-02,6.176661e+00,-3.109528e+02,-9.730730e+01,3.660466e-01
1.308333e-02,6.174798e+00,-3.109772e+02,-9.643705e+01,3.658667e-01
1.439167e-02,6.172814e+00,-3.111314e+02,-9.556825e+01,3.657082e-01
1.570000e-02,6.170709e+00,-3.112918e+02,-9.498908e+01,3.655744e-01
1.700833e-02,6.168474e+00,-3.113851e+02,-9.477608e+01,3.654892e-01
1.831667e-02,6.166074e+00,-3.114403e+02,-9.481299e+01,3.654875e-01
1.962500e-02,6.163465e+00,-3.115011e+02,-9.487979e+01,3.655905e-01
2.093333e-02,6.160618e+00,-3.115581e+02,-9.482554e+01,3.657771e-01
2.224167e-02,6.157532e+00,-3.115642e+02,-9.464582e+01,3.659867e-01
2.355000e-02,6.154259e+00,-3.114828e+02,-9.444550e+01,3.661481e-01
2.485833e-02,6.150866e+00,-3.113144e+02,-9.436238e+01,3.662112e-01
2.616667e-02,6.147393e+00,-3.111290e+02,-9.444569e+01,3.661579e-01
2.747500e-02,6.143837e+00,-3.110333e+02,-9.461084e+01,3.659938e-01
2.878333e-02,6.140162e+00,-3.110521e+02,-9.470255e+01,3.657413e-01
3.009167e-02,6.136380e+00,-3.111549e+02,-9.457703e+01,3.654422e-01
3.140000e-02,6.132592e+00,-3.113179e+02,-9.412165e+01,3.651657e-01
3.270833e-02,6.128961e+00,-3.115299e+02,-9.331685e+01,3.649936e-01
3.401667e-02,6.125631e+00,-3.117620e+02,-9.232060e+01,3.649907e-01
3.532500e-02,6.122656e+00,-3.119342e+02,-9.132487e+01,3.652043e-01
3.663333e-02,6.119962e+00,-3.120381e+02,-9.042536e+01,3.656652e-01
3.794167e-02,6.117409e+00,-3.121755e+02,-8.969899e+01,3.663850e-01
3.925000e-02,6.114878e+00,-3.124558e+02,-8.910156e+01,3.673674e-01
4.055833e-02,6.112322e+00,-3.129437e+02,-8.848766e+01,3.685911e-01
4.186667e-02,6.109795e+00,-3.136113e+02,-8.782473e+01,3.699956e-01
4.317500e-02,6.107393e+00,-3.143713e+02,-8.712247e+01,3.715094e-01
4.448333e-02,6.105196e+00,-3.151541e+02,-8.642932e+01,3.730748e-01
4.579167e-02,6.103259e+00,-3.159625e+02,-8.583064e+01,3.746585e-01
4.710000e-02,6.101601e+00,-3.168575e+02,-8.523852e+01,3.762688e-01
4.840833e-02,6.100218e+00,-3.178513e+02,-8.449853e+01,3.779357e-01
4.971667e-02,6.099113e+00,-3.189312e+02,-8.358073e+01,3.796885e-01
5.102500e-02,6.098352e+00,-3.201177e+02,-8.251633e+01,3.815809e-01
5.233333e-02,6.098102e+00,-3.214654e+02,-8.140266e+01,3.836916e-01
5.364167e-02,6.098601e+00,-3.230229e+02,-8.037279e+01,3.861039e-01
5.495000e-02,6.100072e+00,-3.247989e+02,-7.948227e+01,3.889010e-01
5.625833e-02,6.102680e+00,-3.268080e+02,-7.870554e+01,3.921579e-01
5.756667e-02,6.106507e+00,-3.290228e+02,-7.800459e+01,3.959272e-01
5.887500e-02,6.111541e+00,-3.313844e+02,-7.738010e+01,4.002267e-01
