# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.185230e+00,-3.120529e+02,-9.522082e+01,3.670759e-01
2.616667e-03,6.184869e+00,-3.120188e+02,-9.531771e+01,3.670665e-01
3.925000e-03,6.184214e+00,-3.119635e+02,-9.551477e+01,3.670416e-01
5.233333e-03,6.183382e+00,-3.118716e+02,-9.591287e+01,3.669812e-01
6.541667e-03,6.182410e+00,-3.117101e+02,-9.653523e+01,3.668686e-01
7.850000e-03,6.181268e+00,-3.115000e+02,-9.724228e+01,3.666985e-01
9.158333e-03,6.179929e+00,-3.112879e+02,-9.776684e+01,3.664828e-01
1.046667e-02,6.178385e+00,-3.110855e+02,-9.781918e+01,3.662547e-01
1.177500e-02,6.176660e+00,-3.109517e+02,-9.731183e+01,3.660458e-01
1.308333e-02,6.174797e+00,-3.109745e+02,-9.644857e+01,3.658647e-01
1.439167e-02,6.172812e+00,-3.111250e+02,-9.559277e+01,3.657034e-01
1.570000e-02,6.170705e+00,-3.112779e+02,-9.503432e+01,3.655645e-01
1.700833e-02,6.168467e+00,-3.113584e+02,-9.485167e+01,3.654704e-01
1.831667e-02,6.166062e+00,-3.113939e+02,-9.493126e+01,3.654545e-01
1.962500e-02,6.163444e+00,-3.114239e+02,-9.505566e+01,3.655353e-01
2.093333e-02,6.160584e+00,-3.114358e+02,-9.507605e+01,3.656891e-01
2.224167e-02,6.157477e+00,-3.113828e+02,-9.499007e+01,3.658519e-01
2.355000e-02,6.154173e+00,-3.112247e+02,-9.490568e+01,3.659486e-01
2.485833e-02,6.150737e+00,-3.109569e+02,-9.496563e+01,3.659246e-01
2.616667e-02,6.147204e+00,-3.106491e+02,-9.522022e+01,3.657569e-01
2.747500e-02,6.143567e+00,-3.104058e+02,-9.558421e+01,3.654460e-01
2.878333e-02,6.139789e+00,-3.102470e+02,-9.590561e+01,3.650087e-01
3.009167e-02,6.135876e+00,-3.101383e+02,-9.604300e+01,3.644809e-01
3.140000e-02,6.131923e+00,-3.100515e+02,-9.588565e+01,3.639256e-01
3.270833e-02,6.128086e+00,-3.099689e+02,-9.541959e+01,3.634170e-01
3.401667e-02,6.124498e+00,-3.098530e+02,-9.481049e+01,3.630113e-01
3.532500e-02,6.121200e+00,-3.096183e+02,-9.425324e+01,3.627462e-01
3.663333e-02,6.118109e+00,-3.092552e+02,-9.384127e+01,3.626425e-01
3.794167e-02,6.115085e+00,-3.088620e+02,-9.364555e+01,3.627011e-01
3.925000e-02,6.112008e+00,-3.085436e+02,-9.361126e+01,3.629146e-01
4.055833e-02,6.108836e+00,-3.083628e+02,-9.358595e+01,3.632500e-01
4.186667e-02,6.105617e+00,-3.082882e+02,-9.354260e+01,3.636336e-01
4.317500e-02,6.102422e+00,-3.082243e+02,-9.349473e+01,3.639810e-01
4.448333e-02,6.099295e+00,-3.080952e+02,-9.347730e+01,3.642229e-01
4.579167e-02,6.096251e+00,-3.079045e+02,-9.355562e+01,3.643153e-01
4.710000e-02,6.093248e+00,-3.077178e+02,-9.362452e+01,3.642567e-01
4.840833e-02,6.090206e+00,-3.075480e+02,-9.352602e+01,3.640663e-01
4.971667e-02,6.087051e+00,-3.073790e+02,-9.325410e+01,3.637595e-01
5.102500e-02,6.083780e+00,-3.072218e+02,-9.287621e+01,3.633724e-01
5.233333e-02,6.080501e+00,-3.071118e+02,-9.251009e+01,3.629662e-01
5.364167e-02,6.077379e+00,-3.070819e+02,-9.227817e+01,3.626083e-01
5.495000e-02,6.074540e+00,-3.071395e+02,-9.220209e+01,3.623678e-01
5.625833e-02,6.072031e+00,-3.073037e+02,-9.222255e+01,3.623041e-01
5.756667e-02,6.069806e+00,-3.075478e+02,-9.228103e+01,3.624494e-01
5.887500e-02,6.067730e+00,-3.078041e+02,-9.236323e+01,3.628002e-01
