# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.185230e+00,-3.120529e+02,-9.522082e+01,3.670759e-01
2.616667e-03,6.184869e+00,-3.120188e+02,-9.531771e+01,3.670665e-01
3.925000e-03,6.184214e+00,-3.119635e+02,-9.551477e+01,3.670416e-01
5.233333e-03,6.183382e+00,-3.118716e+02,-9.591287e+01,3.669812e-01
6.541667e-03,6.182410e+00,-3.117101e+02,-9.653523e+01,3.668686e-01
7.850000e-03,6.181268e+00,-3.115000e+02,-9.724228e+01,3.666985e-01
9.158333e-03,6.179929e+00,-3.112879e+02,-9.776679e+01,3.664828e-01
1.046667e-02,6.178385e+00,-3.110855e+02,-9.781887e+01,3.662547e-01
1.177500e-02,6.176660e+00,-3.109520e+02,-9.731090e+01,3.660460e-01
1.308333e-02,6.174797e+00,-3.109750e+02,-9.644656e+01,3.658650e-01
1.439167e-02,6.172812e+00,-3.111261e+02,-9.558809e+01,3.657043e-01
1.570000e-02,6.170706e+00,-3.112808e+02,-9.502497e+01,3.655664e-01
1.700833e-02,6.168469e+00,-3.113640e+02,-9.483620e+01,3.654742e-01
1.831667e-02,6.166064e+00,-3.114033e+02,-9.490726e+01,3.654610e-01
1.962500e-02,6.163449e+00,-3.114394e+02,-9.501992e+01,3.655463e-01
2.093333e-02,6.160591e+00,-3.114610e+02,-9.502499e+01,3.657067e-01
2.224167e-02,6.157488e+00,-3.114204e+02,-9.491994e+01,3.658791e-01
2.355000e-02,6.154191e+00,-3.112780e+02,-9.481226e+01,3.659890e-01
2.485833e-02,6.150763e+00,-3.110308e+02,-9.484284e+01,3.659828e-01
2.616667e-02,6.147243e+00,-3.107483e+02,-9.506270e+01,3.658384e-01
2.747500e-02,6.143622e+00,-3.105344e+02,-9.538820e+01,3.655573e-01
2.878333e-02,6.139864e+00,-3.104096e+02,-9.566669e+01,3.651573e-01
3.009167e-02,6.135976e+00,-3.103409e+02,-9.575532e+01,3.646755e-01
3.140000e-02,6.132054e+00,-3.103015e+02,-9.554171e+01,3.641758e-01
3.270833e-02,6.128254e+00,-3.102765e+02,-9.500985e+01,3.637342e-01
3.401667e-02,6.124713e+00,-3.102317e+02,-9.432264e+01,3.634086e-01
3.532500e-02,6.121472e+00,-3.100821e+02,-9.367397e+01,3.632391e-01
3.663333e-02,6.118455e+00,-3.098163e+02,-9.315547e+01,3.632491e-01
3.794167e-02,6.115530e+00,-3.095333e+02,-9.283810e+01,3.634426e-01
3.925000e-02,6.112578e+00,-3.093385e+02,-9.267261e+01,3.638146e-01
4.055833e-02,6.109552e+00,-3.092951e+02,-9.251268e+01,3.643350e-01
4.186667e-02,6.106486e+00,-3.093725e+02,-9.233146e+01,3.649326e-01
4.317500e-02,6.103450e+00,-3.094779e+02,-9.213859e+01,3.655257e-01
4.448333e-02,6.100493e+00,-3.095393e+02,-9.197049e+01,3.660472e-01
4.579167e-02,6.097634e+00,-3.095610e+02,-9.189724e+01,3.664551e-01
4.710000e-02,6.094850e+00,-3.096055e+02,-9.182347e+01,3.667494e-01
4.840833e-02,6.092086e+00,-3.096838e+02,-9.160535e+01,3.669498e-01
4.971667e-02,6.089292e+00,-3.097781e+02,-9.123286e+01,3.670731e-01
5.102500e-02,6.086483e+00,-3.098981e+02,-9.074590e+01,3.671594e-01
5.233333e-02,6.083777e+00,-3.100852e+02,-9.022698e+01,3.672766e-01
5.364167e-02,6.081345e+00,-3.103861e+02,-8.978704e+01,3.674990e-01
5.495000e-02,6.079328e+00,-3.108177e+02,-8.947512e+01,3.678992e-01
5.625833e-02,6.077808e+00,-3.113933e+02,-8.926248e+01,3.685383e-01
5.756667e-02,6.076782e+00,-3.120735e+02,-8.910074e+01,3.694534e-01
5.887500e-02,6.076157e+00,-3.127935e+02,-8.898561e+01,3.706480e-01
