# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.943750e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.887500e-03,7.978526e+00,-3.662191e+02,-8.178498e+01,1.013466e+01
8.831250e-03,7.977911e+00,-3.661390e+02,-8.205117e+01,1.013459e+01
1.177500e-02,7.977111e+00,-3.660425e+02,-8.219862e+01,1.013449e+01
1.471875e-02,7.976062e+00,-3.660108e+02,-8.194283e+01,1.013440e+01
1.766250e-02,7.974738e+00,-3.660739e+02,-8.149902e+01,1.013438e+01
2.060625e-02,7.973105e+00,-3.661346e+02,-8.139077e+01,1.013441e+01
2.355000e-02,7.971079e+00,-3.660890e+02,-8.164644e+01,1.013447e+01
2.649375e-02,7.968632e+00,-3.659457e+02,-8.181062e+01,1.013450e+01
2.943750e-02,7.965866e+00,-3.657972e+02,-8.172284e+01,1.013443e+01
3.238125e-02,7.962933e+00,-3.656750e+02,-8.160746e+01,1.013422e+01
3.532500e-02,7.959924e+00,-3.655770e+02,-8.150287e+01,1.013402e+01
3.826875e-02,7.956875e+00,-3.654999e+02,-8.127676e+01,1.013399e+01
4.121250e-02,7.953823e+00,-3.653371e+02,-8.103848e+01,1.013417e+01
4.415625e-02,7.950757e+00,-3.650703e+02,-8.102420e+01,1.013445e+01
4.710000e-02,7.947555e+00,-3.648636e+02,-8.114273e+01,1.013469e+01
5.004375e-02,7.944152e+00,-3.647989e+02,-8.107387e+01,1.013479e+01
5.298750e-02,7.940705e+00,-3.647907e+02,-8.076548e+01,1.013478e+01
5.593125e-02,7.937384e+00,-3.647510e+02,-8.045182e+01,1.013482e+01
5.887500e-02,7.934126e+00,-3.647255e+02,-8.029667e+01,1.013507e+01
6.181875e-02,7.930829e+00,-3.648223e+02,-8.026247e+01,1.013560e+01
6.476250e-02,7.927595e+00,-3.650396e+02,-8.024396e+01,1.013635e+01
6.770625e-02,7.924519e+00,-3.652738e+02,-8.016176e+01,1.013718e+01
