# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.183212e+00,-3.119799e+02,-9.518240e+01,3.894025e-01
2.616667e-03,6.182853e+00,-3.119466e+02,-9.527727e+01,3.893932e-01
3.925000e-03,6.182202e+00,-3.118922e+02,-9.547197e+01,3.893687e-01
5.233333e-03,6.181373e+00,-3.118017e+02,-9.586654e+01,3.893088e-01
6.541667e-03,6.180407e+00,-3.116424e+02,-9.648455e+01,3.891969e-01
7.850000e-03,6.179270e+00,-3.114346e+02,-9.718784e+01,3.890277e-01
9.158333e-03,6.177938e+00,-3.112237e+02,-9.771019e+01,3.888131e-01
1.046667e-02,6.176401e+00,-3.110223e+02,-9.776274e+01,3.885859e-01
1.177500e-02,6.174682e+00,-3.108895e+02,-9.725801e+01,3.883775e-01
1.308333e-02,6.172826e+00,-3.109121e+02,-9.639925e+01,3.881961e-01
1.439167e-02,6.170848e+00,-3.110615e+02,-9.554863e+01,3.880340e-01
1.570000e-02,6.168748e+00,-3.112137e+02,-9.499512e+01,3.878936e-01
1.700833e-02,6.166517e+00,-3.112935e+02,-9.481699e+01,3.877971e-01
1.831667e-02,6.164120e+00,-3.113278e+02,-9.490069e+01,3.877776e-01
1.962500e-02,6.161512e+00,-3.113561e+02,-9.502943e+01,3.878537e-01
2.093333e-02,6.158661e+00,-3.113660e+02,-9.505435e+01,3.880018e-01
2.224167e-02,6.155566e+00,-3.113106e+02,-9.497307e+01,3.881583e-01
2.355000e-02,6.152274e+00,-3.111497e+02,-9.489364e+01,3.882485e-01
2.485833e-02,6.148850e+00,-3.108791e+02,-9.495854e+01,3.882177e-01
2.616667e-02,6.145329e+00,-3.105685e+02,-9.521812e+01,3.880428e-01
2.747500e-02,6.141705e+00,-3.103217e+02,-9.558946e+01,3.877239e-01
2.878333e-02,6.137939e+00,-3.101580e+02,-9.592243e+01,3.872776e-01
3.009167e-02,6.134036e+00,-3.100430e+02,-9.607467e+01,3.867393e-01
3.140000e-02,6.130092e+00,-3.099483e+02,-9.593469e+01,3.861712e-01
3.270833e-02,6.126261e+00,-3.098539e+02,-9.548879e+01,3.856466e-01
3.401667e-02,6.122677e+00,-3.097206e+02,-9.490361e+01,3.852207e-01
3.532500e-02,6.119377e+00,-3.094631e+02,-9.437487e+01,3.849301e-01
3.663333e-02,6.116280e+00,-3.090719e+02,-9.399652e+01,3.847938e-01
3.794167e-02,6.113243e+00,-3.086436e+02,-9.383926e+01,3.848115e-01
3.925000e-02,6.110143e+00,-3.082853e+02,-9.384854e+01,3.849747e-01
4.055833e-02,6.106940e+00,-3.080641e+02,-9.387106e+01,3.852501e-01
4.186667e-02,6.103685e+00,-3.079480e+02,-9.387708e+01,3.855642e-01
4.317500e-02,6.100458e+00,-3.078387e+02,-9.387612e+01,3.858326e-01
4.448333e-02,6.097304e+00,-3.076607e+02,-9.390070e+01,3.859864e-01
4.579167e-02,6.094236e+00,-3.074155e+02,-9.401334e+01,3.859827e-01
4.710000e-02,6.091210e+00,-3.071641e+02,-9.410865e+01,3.858206e-01
4.840833e-02,6.088139e+00,-3.069208e+02,-9.403074e+01,3.855195e-01
4.971667e-02,6.084940e+00,-3.066737e+02,-9.377269e+01,3.850945e-01
5.102500e-02,6.081596e+00,-3.064347e+02,-9.341124e+01,3.845798e-01
5.233333e-02,6.078207e+00,-3.062374e+02,-9.307896e+01,3.840333e-01
5.364167e-02,6.074940e+00,-3.061121e+02,-9.290256e+01,3.835197e-01
5.495000e-02,6.071914e+00,-3.060647e+02,-9.290133e+01,3.831053e-01
5.625833e-02,6.069173e+00,-3.061131e+02,-9.301127e+01,3.828460e-01
5.756667e-02,6.066668e+00,-3.062261e+02,-9.316192e+01,3.827713e-01
5.887500e-02,6.064259e+00,-3.063351e+02,-9.332482e+01,3.828759e-01
6.018333e-02,6.061838e+00,-3.064170e+02,-9.345532e+01,3.831338e-01
6.149167e-02,6.059405e+00,-3.064618e+02,-9.348359e+01,3.835061e-01
6.280000e-02,6.057033e+00,-3.064777e+02,-9.342151e+01,3.839302e-01
6.410833e-02,6.054798e+00,-3.065043e+02,-9.334079e+01,3.843305e-01
6.541667e-02,6.052741e+00,-3.065304e+02,-9.328450e+01,3.846430e-01
6.672500e-02,6.050837e+00,-3.065299e+02,-9.326483e+01,3.848200e-01
6.803333e-02,6.049009e+00,-3.064952e+02,-9.321393e+01,3.848370e-01
6.934167e-02,6.047169e+00,-3.064308e+02,-9.304689e+01,3.847085e-01
7.065000e-02,6.045258e+00,-3.064073e+02,-9.280760e+01,3.844703e-01
7.195833e-02,6.043284e+00,-3.064478e+02,-9.258656e+01,3.841731e-01
7.326667e-02,6.041303e+00,-3.064767e+02,-9.246111e+01,3.838773e-01
7.457500e-02,6.039406e+00,-3.064439e+02,-9.252084e+01,3.836361e-01
7.588333e-02,6.037686e+00,-3.063375e+02,-9.272153e+01,3.835026e-01
7.719167e-02,6.036184e+00,-3.061634e+02,-9.292086e+01,3.835194e-01
7.850000e-02,6.034865e+00,-3.059942e+02,-9.305992e+01,3.836996e-01
7.980833e-02,6.033647e+00,-3.058888e+02,-9.310803e+01,3.840359e-01
8.111667e-02,6.032455e+00,-3.058654e+02,-9.306465e+01,3.845008e-01
8.242500e-02,6.031277e+00,-3.059567e+02,-9.302022e+01,3.850494e-01
8.373333e-02,6.030131e+00,-3.061305e+02,-9.301124e+01,3.856366e-01
8.504167e-02,6.029032e+00,-3.063238e+02,-9.302016e+01,3.862137e-01
8.635000e-02,6.027996e+00,-3.064888e+02,-9.305308e+01,3.867307e-01
8.765833e-02,6.027022e+00,-3.065558e+02,-9.300520e+01,3.871617e-01
8.896667e-02,6.026089e+00,-3.065370e+02,-9.281341e+01,3.874981e-01
9.027500e-02,6.025197e+00,-3.065521e+02,-9.254563e+01,3.877408e-01
9.158333e-02,6.024377e+00,-3.066581e+02,-9.223875e+01,3.879150e-01
9.289167e-02,6.023667e+00,-3.068123e+02,-9.200944e+01,3.880458e-01
9.420000e-02,6.023104e+00,-3.069628e+02,-9.202604e+01,3.881488e-01
9.550833e-02,6.022721e+00,-3.070858e+02,-9.230931e+01,3.882540e-01
9.681667e-02,6.022537e+00,-3.071891e+02,-9.276085e+01,3.884046e-01
9.812500e-02,6.022576e+00,-3.073030e+02,-9.321529e+01,3.886447e-01
9.943333e-02,6.022868e+00,-3.074500e+02,-9.348650e+01,3.890093e-01
1.007417e-01,6.023424e+00,-3.076300e+02,-9.350788e+01,3.895140e-01
1.020500e-01,6.024227e+00,-3.078030e+02,-9.337370e+01,3.901441e-01
