# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.943750e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.887500e-03,8.105980e+00,-3.694223e+02,-8.297046e+01,9.434299e+00
8.831250e-03,8.105379e+00,-3.693406e+02,-8.324853e+01,9.434229e+00
1.177500e-02,8.104614e+00,-3.692418e+02,-8.340043e+01,9.434120e+00
1.471875e-02,8.103612e+00,-3.692108e+02,-8.312666e+01,9.434026e+00
1.766250e-02,8.102343e+00,-3.692808e+02,-8.265467e+01,9.433998e+00
2.060625e-02,8.100774e+00,-3.693491e+02,-8.254863e+01,9.434029e+00
2.355000e-02,8.098816e+00,-3.693018e+02,-8.284626e+01,9.434083e+00
2.649375e-02,8.096437e+00,-3.691474e+02,-8.304434e+01,9.434104e+00
2.943750e-02,8.093744e+00,-3.689916e+02,-8.295137e+01,9.434007e+00
3.238125e-02,8.090893e+00,-3.688724e+02,-8.282116e+01,9.433772e+00
3.532500e-02,8.087975e+00,-3.687804e+02,-8.271871e+01,9.433537e+00
3.826875e-02,8.085013e+00,-3.687050e+02,-8.250735e+01,9.433481e+00
4.121250e-02,8.082032e+00,-3.685281e+02,-8.231221e+01,9.433632e+00
4.415625e-02,8.079019e+00,-3.682203e+02,-8.238826e+01,9.433861e+00
4.710000e-02,8.075853e+00,-3.679562e+02,-8.260761e+01,9.434001e+00
5.004375e-02,8.072471e+00,-3.678365e+02,-8.259745e+01,9.433959e+00
5.298750e-02,8.069041e+00,-3.677666e+02,-8.231734e+01,9.433766e+00
5.593125e-02,8.065742e+00,-3.676309e+02,-8.207017e+01,9.433581e+00
5.887500e-02,8.062489e+00,-3.674632e+02,-8.205249e+01,9.433571e+00
6.181875e-02,8.059151e+00,-3.673807e+02,-8.218967e+01,9.433776e+00
6.476250e-02,8.055849e+00,-3.673880e+02,-8.233909e+01,9.434094e+00
6.770625e-02,8.052726e+00,-3.673745e+02,-8.241122e+01,9.434356e+00
