# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.183212e+00,-3.119799e+02,-9.518240e+01,3.894025e-01
2.616667e-03,6.182853e+00,-3.119466e+02,-9.527727e+01,3.893932e-01
3.925000e-03,6.182202e+00,-3.118922e+02,-9.547197e+01,3.893687e-01
5.233333e-03,6.181373e+00,-3.118017e+02,-9.586654e+01,3.893088e-01
6.541667e-03,6.180407e+00,-3.116424e+02,-9.648455e+01,3.891969e-01
7.850000e-03,6.179270e+00,-3.114346e+02,-9.718783e+01,3.890277e-01
9.158333e-03,6.177938e+00,-3.112238e+02,-9.770995e+01,3.888131e-01
1.046667e-02,6.176401e+00,-3.110226e+02,-9.776130e+01,3.885862e-01
1.177500e-02,6.174683e+00,-3.108906e+02,-9.725319e+01,3.883783e-01
1.308333e-02,6.172827e+00,-3.109150e+02,-9.638713e+01,3.881983e-01
1.439167e-02,6.170850e+00,-3.110681e+02,-9.552298e+01,3.880391e-01
1.570000e-02,6.168752e+00,-3.112282e+02,-9.494742e+01,3.879041e-01
1.700833e-02,6.166525e+00,-3.113218e+02,-9.473687e+01,3.878169e-01
1.831667e-02,6.164133e+00,-3.113770e+02,-9.477549e+01,3.878124e-01
1.962500e-02,6.161534e+00,-3.114378e+02,-9.484344e+01,3.879119e-01
2.093333e-02,6.158697e+00,-3.114953e+02,-9.478968e+01,3.880947e-01
2.224167e-02,6.155624e+00,-3.115024e+02,-9.460989e+01,3.883007e-01
2.355000e-02,6.152364e+00,-3.114222e+02,-9.440881e+01,3.884591e-01
2.485833e-02,6.148986e+00,-3.112556e+02,-9.432384e+01,3.885203e-01
2.616667e-02,6.145529e+00,-3.110727e+02,-9.440465e+01,3.884659e-01
2.747500e-02,6.141989e+00,-3.109787e+02,-9.456766e+01,3.883017e-01
2.878333e-02,6.138331e+00,-3.109983e+02,-9.465832e+01,3.880498e-01
3.009167e-02,6.134566e+00,-3.111024e+02,-9.453274e+01,3.877519e-01
3.140000e-02,6.130795e+00,-3.112672e+02,-9.407845e+01,3.874767e-01
3.270833e-02,6.127179e+00,-3.114807e+02,-9.327627e+01,3.873053e-01
3.401667e-02,6.123864e+00,-3.117138e+02,-9.228312e+01,3.873021e-01
3.532500e-02,6.120903e+00,-3.118874e+02,-9.129000e+01,3.875143e-01
3.663333e-02,6.118220e+00,-3.119930e+02,-9.039315e+01,3.879722e-01
3.794167e-02,6.115677e+00,-3.121313e+02,-8.966915e+01,3.886874e-01
3.925000e-02,6.113156e+00,-3.124122e+02,-8.907306e+01,3.896636e-01
4.055833e-02,6.110609e+00,-3.129009e+02,-8.845995e+01,3.908802e-01
4.186667e-02,6.108092e+00,-3.135689e+02,-8.779762e+01,3.922770e-01
4.317500e-02,6.105699e+00,-3.143292e+02,-8.709593e+01,3.937832e-01
4.448333e-02,6.103512e+00,-3.151129e+02,-8.640301e+01,3.953418e-01
4.579167e-02,6.101585e+00,-3.159225e+02,-8.580381e+01,3.969198e-01
4.710000e-02,6.099937e+00,-3.168185e+02,-8.521120e+01,3.985258e-01
4.840833e-02,6.098564e+00,-3.178132e+02,-8.447112e+01,4.001897e-01
4.971667e-02,6.097470e+00,-3.188943e+02,-8.355339e+01,4.019412e-01
5.102500e-02,6.096719e+00,-3.200819e+02,-8.248992e+01,4.038331e-01
5.233333e-02,6.096478e+00,-3.214299e+02,-8.137810e+01,4.059433e-01
5.364167e-02,6.096985e+00,-3.229872e+02,-8.034959e+01,4.083546e-01
5.495000e-02,6.098461e+00,-3.247626e+02,-7.945978e+01,4.111490e-01
5.625833e-02,6.101071e+00,-3.267702e+02,-7.868377e+01,4.144009e-01
5.756667e-02,6.104897e+00,-3.289828e+02,-7.798309e+01,4.181618e-01
5.887500e-02,6.109927e+00,-3.313420e+02,-7.735800e+01,4.224489e-01
6.018333e-02,6.116161e+00,-3.338276e+02,-7.677574e+01,4.272559e-01
6.149167e-02,6.123693e+00,-3.364203e+02,-7.614671e+01,4.325611e-01
6.280000e-02,6.132695e+00,-3.391153e+02,-7.545131e+01,4.383157e-01
6.410833e-02,6.143363e+00,-3.419528e+02,-7.473833e+01,4.444547e-01
6.541667e-02,6.155877e+00,-3.449405e+02,-7.405607e+01,4.509197e-01
6.672500e-02,6.170367e+00,-3.480662e+02,-7.346242e+01,4.576624e-01
6.803333e-02,6.186908e+00,-3.513229e+02,-7.292988e+01,4.646566e-01
6.934167e-02,6.205558e+00,-3.547173e+02,-7.235990e+01,4.719199e-01
7.065000e-02,6.226400e+00,-3.583379e+02,-7.174825e+01,4.795016e-01
7.195833e-02,6.249571e+00,-3.622448e+02,-7.114696e+01,4.874717e-01
7.326667e-02,6.275254e+00,-3.663892e+02,-7.062949e+01,4.959107e-01
7.457500e-02,6.303662e+00,-3.707104e+02,-7.032938e+01,5.048852e-01
7.588333e-02,6.335013e+00,-3.751626e+02,-7.027468e+01,5.144554e-01
7.719167e-02,6.369486e+00,-3.797226e+02,-7.037260e+01,5.246703e-01
7.850000e-02,6.407186e+00,-3.844633e+02,-7.056971e+01,5.355561e-01
7.980833e-02,6.448149e+00,-3.894702e+02,-7.080244e+01,5.471222e-01
8.111667e-02,6.492398e+00,-3.947801e+02,-7.101669e+01,5.593516e-01
8.242500e-02,6.539993e+00,-4.004241e+02,-7.127503e+01,5.721921e-01
8.373333e-02,6.591031e+00,-4.063688e+02,-7.162300e+01,5.855739e-01
8.504167e-02,6.645634e+00,-4.125560e+02,-7.207467e+01,5.994345e-01
8.635000e-02,6.703935e+00,-4.189408e+02,-7.268629e+01,6.137258e-01
8.765833e-02,6.766038e+00,-4.254499e+02,-7.336362e+01,6.284133e-01
8.896667e-02,6.831994e+00,-4.320654e+02,-7.399826e+01,6.434680e-01
9.027500e-02,6.901855e+00,-4.388660e+02,-7.462041e+01,6.588872e-01
9.158333e-02,6.975718e+00,-4.459172e+02,-7.524958e+01,6.747314e-01
9.289167e-02,7.053692e+00,-4.532141e+02,-7.598110e+01,6.910519e-01
9.420000e-02,7.135865e+00,-4.607027e+02,-7.696688e+01,7.078352e-01
9.550833e-02,7.222318e+00,-4.683056e+02,-7.829705e+01,7.250706e-01
9.681667e-02,7.313137e+00,-4.760071e+02,-8.001794e+01,7.428275e-01
9.812500e-02,7.408408e+00,-4.838775e+02,-8.202750e+01,7.612162e-01
9.943333e-02,7.508149e+00,-4.919374e+02,-8.404312e+01,7.802450e-01
1.007417e-01,7.612303e+00,-5.001236e+02,-8.585960e+01,7.998394e-01
1.020500e-01,7.720837e+00,-5.083552e+02,-8.755319e+01,8.199743e-01
