# time, z/s, OOP, MT, Pitch
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.308333e-03,6.185230e+00,-3.120529e+02,-9.522082e+01,3.670759e-01
2.616667e-03,6.184869e+00,-3.120188e+02,-9.531771e+01,3.670665e-01
3.925000e-03,6.184214e+00,-3.119635e+02,-9.551477e+01,3.670416e-01
5.233333e-03,6.183382e+00,-3.118716e+02,-9.591287e+01,3.669812e-01
6.541667e-03,6.182410e+00,-3.117101e+02,-9.653523e+01,3.668686e-01
7.850000e-03,6.181268e+00,-3.115000e+02,-9.724226e+01,3.666985e-01
9.158333e-03,6.179929e+00,-3.112881e+02,-9.776591e+01,3.664830e-01
1.046667e-02,6.178386e+00,-3.110867e+02,-9.781345e+01,3.662556e-01
1.177500e-02,6.176662e+00,-3.109563e+02,-9.729196e+01,3.660491e-01
1.308333e-02,6.174800e+00,-3.109868e+02,-9.639879e+01,3.658737e-01
1.439167e-02,6.172820e+00,-3.111533e+02,-9.549000e+01,3.657240e-01
1.570000e-02,6.170721e+00,-3.113364e+02,-9.484734e+01,3.656066e-01
1.700833e-02,6.168496e+00,-3.114683e+02,-9.453993e+01,3.655492e-01
1.831667e-02,6.166112e+00,-3.115866e+02,-9.444395e+01,3.655926e-01
1.962500e-02,6.163530e+00,-3.117426e+02,-9.433371e+01,3.657648e-01
2.093333e-02,6.160725e+00,-3.119324e+02,-9.405247e+01,3.660532e-01
2.224167e-02,6.157702e+00,-3.121185e+02,-9.358678e+01,3.664072e-01
2.355000e-02,6.154523e+00,-3.122728e+02,-9.303293e+01,3.667671e-01
2.485833e-02,6.151264e+00,-3.124014e+02,-9.252175e+01,3.670960e-01
2.616667e-02,6.147976e+00,-3.125835e+02,-9.209393e+01,3.673900e-01
2.747500e-02,6.144665e+00,-3.129358e+02,-9.165694e+01,3.676702e-01
2.878333e-02,6.141314e+00,-3.134916e+02,-9.105088e+01,3.679750e-01
3.009167e-02,6.137950e+00,-3.142303e+02,-9.013117e+01,3.683630e-01
3.140000e-02,6.134700e+00,-3.151382e+02,-8.878604e+01,3.689212e-01
3.270833e-02,6.131752e+00,-3.162148e+02,-8.699766e+01,3.697503e-01
3.401667e-02,6.129263e+00,-3.174426e+02,-8.492802e+01,3.709347e-01
3.532500e-02,6.127276e+00,-3.187524e+02,-8.277601e+01,3.725421e-01
3.663333e-02,6.125708e+00,-3.201469e+02,-8.064679e+01,3.746244e-01
3.794167e-02,6.124437e+00,-3.217361e+02,-7.862786e+01,3.772159e-01
3.925000e-02,6.123364e+00,-3.236328e+02,-7.668456e+01,3.803433e-01
4.055833e-02,6.122468e+00,-3.259058e+02,-7.468300e+01,3.840096e-01
4.186667e-02,6.121844e+00,-3.285310e+02,-7.260985e+01,3.881783e-01
4.317500e-02,6.121652e+00,-3.314216e+02,-7.049642e+01,3.928019e-01
4.448333e-02,6.122065e+00,-3.345054e+02,-6.840516e+01,3.978464e-01
4.579167e-02,6.123256e+00,-3.377826e+02,-6.642472e+01,4.033024e-01
4.710000e-02,6.125388e+00,-3.413161e+02,-6.447084e+01,4.092030e-01
4.840833e-02,6.128620e+00,-3.451224e+02,-6.241182e+01,4.156006e-01
4.971667e-02,6.133140e+00,-3.491890e+02,-6.025913e+01,4.225430e-01
5.102500e-02,6.139208e+00,-3.535276e+02,-5.808110e+01,4.300991e-01
5.233333e-02,6.147210e+00,-3.581818e+02,-5.599426e+01,4.383626e-01
5.364167e-02,6.157615e+00,-3.631975e+02,-5.414059e+01,4.474325e-01
5.495000e-02,6.170888e+00,-3.685868e+02,-5.258229e+01,4.574064e-01
5.625833e-02,6.187440e+00,-3.743607e+02,-5.130419e+01,4.683694e-01
5.756667e-02,6.207598e+00,-3.804798e+02,-5.028374e+01,4.803779e-01
5.887500e-02,6.231603e+00,-3.868725e+02,-4.953093e+01,4.934497e-01
