# alpha, Cl, Cd, My
-5.000000e+00,-1.735885e-01,1.407991e-02,2.041692e-01
-4.000000e+00,-9.538774e-02,1.211494e-02,1.278082e-01
-3.000000e+00,-1.632884e-02,1.050012e-02,5.095780e-02
-2.000000e+00,6.363428e-02,9.572969e-03,-2.630204e-02
-1.000000e+00,1.439448e-01,9.207776e-03,-1.038304e-01
0.000000e+00,2.238190e-01,9.423299e-03,-1.813220e-01
1.000000e+00,3.028982e-01,1.014996e-02,-2.581038e-01
2.000000e+00,3.805129e-01,1.133809e-02,-3.332239e-01
3.000000e+00,4.554683e-01,1.308766e-02,-4.058294e-01
4.000000e+00,5.356851e-01,1.318994e-02,-4.899273e-01
5.000000e+00,6.082634e-01,1.697022e-02,-5.636252e-01
6.000000e+00,6.788127e-01,1.964261e-02,-6.370970e-01
7.000000e+00,7.468131e-01,2.277851e-02,-7.101446e-01
8.000000e+00,8.119881e-01,2.641900e-02,-7.828395e-01
9.000000e+00,8.752364e-01,3.058582e-02,-8.504117e-01
1.000000e+01,9.382562e-01,3.532008e-02,-9.253511e-01
1.100000e+01,9.983474e-01,3.999169e-02,-9.941992e-01
1.200000e+01,1.056920e+00,4.488663e-02,-1.063267e+00
1.300000e+01,1.114232e+00,5.056783e-02,-1.135182e+00
1.400000e+01,1.169911e+00,5.654024e-02,-1.209685e+00
1.500000e+01,1.224025e+00,6.277716e-02,-1.287571e+00
1.600000e+01,1.276214e+00,6.980973e-02,-1.367810e+00
1.700000e+01,1.325278e+00,7.756561e-02,-1.448550e+00
1.800000e+01,1.362124e+00,8.634522e-02,-1.517755e+00
1.900000e+01,1.399654e+00,9.598390e-02,-1.591385e+00
2.000000e+01,1.434929e+00,1.060187e-01,-1.660710e+00
2.100000e+01,1.467285e+00,1.166707e-01,-1.728797e+00
2.200000e+01,1.496016e+00,1.276818e-01,-1.794726e+00
2.300000e+01,1.521652e+00,1.395835e-01,-1.859438e+00
2.400000e+01,1.543000e+00,1.527026e-01,-1.923011e+00
2.500000e+01,1.560762e+00,1.667603e-01,-1.984314e+00
2.600000e+01,1.574828e+00,1.821129e-01,-2.043745e+00
