# alpha, Cl, Cd, My
-5.000000e+00,-1.679121e-01,1.432785e-02,1.901216e-01
-4.000000e+00,-8.764311e-02,1.233309e-02,1.178506e-01
-3.000000e+00,-6.381766e-03,1.075784e-02,4.500141e-02
-2.000000e+00,7.571948e-02,9.784478e-03,-2.832090e-02
-1.000000e+00,1.581340e-01,9.355279e-03,-1.018397e-01
0.000000e+00,2.400349e-01,9.412089e-03,-1.752665e-01
1.000000e+00,3.312626e-01,9.539597e-03,-2.602593e-01
2.000000e+00,4.094691e-01,1.038678e-02,-3.308883e-01
3.000000e+00,4.885502e-01,1.159767e-02,-4.049463e-01
4.000000e+00,5.656566e-01,1.313937e-02,-4.771100e-01
5.000000e+00,6.422893e-01,1.542626e-02,-5.504468e-01
6.000000e+00,7.160952e-01,1.789869e-02,-6.224835e-01
7.000000e+00,7.871635e-01,2.089155e-02,-6.935724e-01
8.000000e+00,8.554250e-01,2.432006e-02,-7.645308e-01
9.000000e+00,9.205873e-01,2.812944e-02,-8.326791e-01
1.000000e+01,9.844852e-01,3.195177e-02,-8.997408e-01
1.100000e+01,1.047531e+00,3.630872e-02,-9.681054e-01
1.200000e+01,1.109285e+00,4.082772e-02,-1.037141e+00
1.300000e+01,1.169410e+00,4.570317e-02,-1.106415e+00
1.400000e+01,1.228440e+00,5.085545e-02,-1.178668e+00
1.500000e+01,1.281936e+00,5.676958e-02,-1.248601e+00
1.600000e+01,1.336607e+00,6.283293e-02,-1.321182e+00
1.700000e+01,1.389202e+00,6.937280e-02,-1.394815e+00
1.800000e+01,1.432158e+00,7.647870e-02,-1.458457e+00
1.900000e+01,1.476392e+00,8.395410e-02,-1.530229e+00
2.000000e+01,1.516916e+00,9.193126e-02,-1.601561e+00
2.100000e+01,1.553865e+00,1.004677e-01,-1.672460e+00
2.200000e+01,1.587225e+00,1.096705e-01,-1.742975e+00
2.300000e+01,1.617269e+00,1.196196e-01,-1.813592e+00
2.400000e+01,1.644216e+00,1.303073e-01,-1.883623e+00
2.500000e+01,1.665904e+00,1.420275e-01,-1.953195e+00
2.600000e+01,1.684714e+00,1.546682e-01,-2.022584e+00
2.700000e+01,1.700033e+00,1.684393e-01,-2.091838e+00
2.800000e+01,1.709490e+00,1.837210e-01,-2.160519e+00
2.900000e+01,1.712628e+00,2.009065e-01,-2.229645e+00
