# alpha, Cl, Cd, My
-5.000000e+00,-2.117659e-01,2.029856e-03,2.347561e-01
-4.000000e+00,-1.357996e-01,1.198827e-03,1.588468e-01
-3.000000e+00,-5.934774e-02,6.996408e-04,8.296517e-02
-2.000000e+00,1.739223e-02,5.392566e-04,7.119822e-03
-1.000000e+00,9.421957e-02,7.319754e-04,-6.873831e-02
0.000000e+00,1.709045e-01,1.302388e-03,-1.445612e-01
1.000000e+00,2.471298e-01,2.271867e-03,-2.198217e-01
2.000000e+00,3.223892e-01,3.617281e-03,-2.935457e-01
3.000000e+00,3.964271e-01,5.372153e-03,-3.653937e-01
4.000000e+00,4.710209e-01,5.729491e-03,-4.426627e-01
5.000000e+00,5.487032e-01,9.198323e-03,-5.223462e-01
6.000000e+00,6.208002e-01,1.167072e-02,-5.967457e-01
7.000000e+00,6.917412e-01,1.443479e-02,-6.713990e-01
8.000000e+00,7.615068e-01,1.751582e-02,-7.463970e-01
9.000000e+00,8.284733e-01,2.065020e-02,-8.155044e-01
1.000000e+01,8.988062e-01,2.502709e-02,-8.967513e-01
1.100000e+01,9.649996e-01,2.909599e-02,-9.706267e-01
1.200000e+01,1.030112e+00,3.335811e-02,-1.044780e+00
1.300000e+01,1.094296e+00,3.824386e-02,-1.119568e+00
1.400000e+01,1.157992e+00,4.344662e-02,-1.196297e+00
1.500000e+01,1.221474e+00,4.900382e-02,-1.276044e+00
1.600000e+01,1.277962e+00,5.520455e-02,-1.349184e+00
1.700000e+01,1.339142e+00,6.175628e-02,-1.430622e+00
1.800000e+01,1.399515e+00,6.877444e-02,-1.512494e+00
1.900000e+01,1.459471e+00,7.628394e-02,-1.595237e+00
2.000000e+01,1.518485e+00,8.428233e-02,-1.678031e+00
2.100000e+01,1.576854e+00,9.279425e-02,-1.761183e+00
2.200000e+01,1.634629e+00,1.018334e-01,-1.844674e+00
2.300000e+01,1.691819e+00,1.114138e-01,-1.928432e+00
2.400000e+01,1.755879e+00,1.211999e-01,-2.024128e+00
2.500000e+01,1.813442e+00,1.316905e-01,-2.110980e+00
2.600000e+01,1.870688e+00,1.427103e-01,-2.198412e+00
